Predicted Labels,Review
CG,Nice phone Bt some times screen gets still..
CG,Shifted from Android to IOS and I am just loving it.
CG,Ammo
CG,"Good Phone, Secure Delivery By Amazon!"
CG,There is no figure print scanner in it
CG,"Face ID, battery and Camera performance. Superb!"
CG,The delivery system is good. Got what I wanted thanks amazon
CG,These guys themselves changed delivery date and gave me heart attack.
CG,"Phone is absolutely good and business class but the only thing I feel the face lock not work in night mode.Rest is good, value for money"
CG,Excellent no words to review amazon didn’t break the trust .. im very happy & satisfied with the product as well as the service provided
CG,Upgraded from Iphone 7. Experience is very good.
CG,Everything is great as per expactations but i didnt receive my 1 year acko insurance of free screen replacmemt
CG,Superb phone..very smooth
OR,I lik phone.. Good phone.. Bt want fatser..battery total vest.. Oneplus good fone.. Dont bye aaple bad cumpani
CG,There is no finger print reading - only face recognition and it is just superb!
CG,The best iPhone ever made so far. Excellent.
CG,Great phone
CG,suddenly my phone switchoff and phone is not working.
CG,Nothing more about the excellence of Apple iPhone. But the pricing of XR category is very much liked and affordable to the common user.
CG,Best mobile under 50k from apple
CG,Awesome Camera.Everything is near perfection.Superb build material with Apple iOS 12.Got at fabulous price during Amazon Sale.
CG,Brought IPhone XR last week. Love this phone and it’s my first ever apple phone. Face ID is excellent and much advanced phone.
CG,This phone is amazing... if you want a phone with amazing battery life then go for it and camera is also very good... very happy to buy this... 😁😁
CG,Got the product beforetime.
CG,Overall performance is good except camera quality since the selfie camera doesn’t give the gud quality picture
CG,Good
CG,Great phone
CG,"Excellent piece of a product, combination of art and technology."
CG,Best Phone In This Budget From Apple Must Buy.
CG,The phone keeps on getting disconnected from WiFi for rhyme or reason on its own. Really frustrating
CG,Charging is very slow
CG,Good
CG,"My first ever iPhone, just loved it"
CG,"The phone is good, working in a nice condition, but they did not gave apple convertor in it."
CG,Excellent product
CG,Good product
CG,Superb cell
CG,"This is an amazing phone. As someone who was a pixel 2xl user, I found the iPhone XR to be better in almost every aspect of my daily usage."
CG,<3 Love for iphone. Just too awesome
CG,Camera quality is ok ok
CG,I m totally in love with this phone. The red is so attractive. Just little bit heavy.
CG,Everything is awesome in this price range
CG,Value for money got it at a good discount
OR,iPhone XR doesn’t need a review. 😊
CG,"The face detection is excellent, touch is also good"
CG,"As always, outstanding"
CG,If you don’t want to spend too much on buying a new iphone this phone is a great buy it can really get you through for 2 years easily
OR,Awesome buy....don’t think twice everything a thumbs up from camera to battery... a little thick and heavy though that’s the only con
CG,"Great phone, got at an amazing price during great indian festive sale. Amazing battery life last for around 2 day with moderate usage"
CG,The Camera of this phone is really good. The User Interface of this phone provides a great satisfaction for investing such an amount.
CG,👍
CG,I didnt hear the sound properly
CG,Quality with reasonable price.
CG,I love it to use it
CG,Good phone under 50k
CG,Good
CG,The earphone which i got with the phone has 2 cuts in it and i want to get it replaced
CG,Product is good. Received an intact iPhone delivered one day before the mentioned date. Bought in 49900 128 gb red.
CG,Camera works so good
OR,This is my first iPhone and it really feels great
CG,"Amazing phone, any android user can easily move to iPhones, features are not so different from Android. One will love the fluency and speed."
CG,Cost too high in Indian currency
CG,OS is not that great.  I want android in it. I hope Apple updates the OS soon and puts android 10.
CG,Good phone. Go for it.
CG,Its been a really nice product and amazon is best at its delivery services. And phone is really a beast performer.
CG,In one word just awsome battary life super quality super i am first time user of i phone so for me its just awsome
CG,Proximity sensor is not working now they have refused to replace.
CG,Woooooow
CG,Good.g for it
CG,Good
CG,Good
CG,Good
CG,Performance is great. But battery life is not sufficient.
CG,"The product was delivered and it was nice. However, I realised that no bill was given with it. So what do I show as its warranty !?"
CG,Fastest phone
CG,Worth the money.
CG,I liked nice camera with face portrait and I dislike there is no portrait mode with objects
OR,"From the house of apple value for money phone, with all classic features of iphone, with superior camera and battery life."
CG,Phone heats up that is it nothing much. I didn’t regret it. You might also feel the same. I hope amazon excecutives will contact me regarding this issue.
CG,Colour of the phone is very rare and it is beautiful as it is coral
CG,Worth for money
CG,Good product as always.amazon always known for their products quality and delivery.
CG,Best
CG,"Very good battery life. The phone is slightly heavy. If you use with spigen cover, it becomes very heavy to handle."
CG,Awesome product
CG,"XR is one of the best phone in Apple segment, It is working like computer easy to use and awesome look, Camera and picture quality is perfect"
CG,Excellent
CG,super phone i got this product for 38k
CG,worst phone ever
CG,"BEST mobile ever, go blind and buy it best mobile ever"
OR,"Worst product ever, regret of buying it.no one even replied customer care and service center both are really worst experience ever"
CG,Face recognition is mind blowing and the battery life is a very good plus point 😍 So happy with the product After 3 months of use
CG,Very economical price from amazon.
CG,"Long battery backup,  smooth inteface ,awesome camera , u can use features of upper model of apples in this phone"
OR,Apple XR is awesome. The best thing about this Phone is its battery.. and the cherry 🍒 on top is it superfast IOS13 👍👍
CG,"A12 chip is still rocking, Apple makes fabulous smartphones."
CG,guys buy it when its 42900rs. its worth it
CG,Amazing product
CG,no phone is like iphone😘 love u amazon got it in 42900....😘😘
OR,Nice cashback offers in Amazon..I'm so happy this product buy to the amazon
CG,Great device... the only regret I have is I should have taken 128 GB model.
CG,Superb
CG,Very good product but hanging problem
